,filename,label_clean_int,label_crow_score_str,label_type_str,label_type_int,label_score_score_int
0,mdc_photo_cdv_photo_003_1521750452895.jpg,0,A+,gemengd,4,1
1,mdc_photo_cdv_photo_006_1521750658737.jpg,0,B,plastic,0,4
2,mdc_photo_cdv_photo_008_1521750851184.jpg,0,D,gemengd,4,2
3,mdc_photo_cdv_photo_009_1521750897891.jpg,0,A+,gemengd,4,1
4,mdc_photo_cdv_photo_011_1521751002923.jpg,0,A+,gemengd,4,1
5,mdc_photo_cdv_photo_018_1521751427229.jpg,0,A+,gemengd,4,1
6,mdc_photo_cdv_photo_020_1521751497741.jpg,0,A,gemengd,4,6
7,mdc_photo_cdv_photo_027_1521751890401.jpg,0,A+,gemengd,4,1
8,mdc_photo_cdv_photo_028_1521751937158.jpg,0,D,gemengd,4,2
9,mdc_photo_cdv_photo_030_1521752046472.jpg,0,A+,gemengd,4,1
10,mdc_photo_cdv_photo_032_1521752163005.jpg,0,B,gemengd,4,4
11,mdc_photo_cdv_photo_033_1521752234167.jpg,0,A,karton,8,6
12,mdc_photo_cdv_photo_036_1521752364187.jpg,0,A+,gemengd,4,1
13,mdc_photo_cdv_photo_038_1521752469392.jpg,0,D,gemengd,4,2
14,mdc_photo_cdv_photo_082_1521677562734.jpg,1,A+,schoon,5,1
15,mdc_photo_mdc_4f781c_1521770323801_1521770326563.jpg,1,A+,schoon,5,1
16,mdc_photo_mdc_8e8356_1521771133257_1521771146924.jpg,0,B,gemengd,4,4
17,mdc_photo_mdc_a97cd8_1521771462936_1521771465136.jpg,1,A+,schoon,5,1
18,mdc_photo_mdc_1e1ae2_1521771903942_1521771906542.jpg,1,A+,schoon,5,1
19,mdc_photo_mdc_e257fa_1521775091279_1521775094119.jpg,0,A,karton,8,6
20,mdc_photo_mdc_dd91e5_20180323_044710_1521779593777.jpg,0,B,hout,3,4
21,mdc_photo_mdc_7e116a_20180323_044828_1521779659520.jpg,0,C,gemengd,4,5
22,mdc_photo_mdc_e2cd86_1521738442917_1521738460948.jpg,1,A+,schoon,5,1
23,mdc_photo_mdc_f80176_1521738787098_1521738824566.jpg,0,A,grofvuil,6,6
24,mdc_photo_mdc_09e21e_1521739110955_1521739130477.jpg,0,A,hout,3,6
25,mdc_photo_mdc_63860c_1521739032582_1521739100371.jpg,1,A+,schoon,5,1
26,mdc_photo_mdc_d19915_IMG_20180322_182930_1521739990931.jpg,0,A,hout,3,6
27,mdc_photo_mdc_5485ab_1521740036669_1521740054542.jpg,1,A+,schoon,5,1
28,mdc_photo_mdc_7702a2_1521740159570_1521740188380.jpg,1,A+,schoon,5,1
29,mdc_photo_mdc_a963a0_1521741343993_1521741355090.jpg,1,A+,schoon,5,1
30,mdc_photo_mdc_56398f_1521741442960_1521741475342.jpg,1,A+,schoon,5,1
31,mdc_photo_mdc_2488a7_1521741630174_1521741640582.jpg,0,B,hout,3,4
32,mdc_photo_mdc_d9d6b8_1521742854973_1521742876152.jpg,0,B,gemengd,4,4
33,mdc_photo_mdc_dfd0ad_1521743628580_1521743652860.jpg,0,B,gemengd,4,4
34,mdc_photo_mdc_8a9439_1521743680260_1521743697817.jpg,0,B,gemengd,4,4
35,mdc_photo_mdc_5f7f2b_1521761610334_1521761613564.jpg,0,D,karton,8,2
36,mdc_photo_cdv_photo_078_1521677338290.jpg,0,B,karton,8,4
37,mdc_photo_cdv_photo_079_1521677361804.jpg,0,D,grofvuil,6,2
38,mdc_photo_mdc_965735_1521763722996_1521763735012.jpg,0,A,ijzer,1,6
39,mdc_photo_cdv_photo_094_1521677880203.jpg,1,A+,schoon,5,1
40,mdc_photo_cdv_photo_111_1521678314516.jpg,0,D,gemengd,4,2
41,mdc_photo_mdc_0b3bcb_1521764891957_1521764895866.jpg,0,D,karton,8,2
42,mdc_photo_mdc_ce46a2_1521766391744_1521766397499.jpg,1,A+,schoon,5,1
43,mdc_photo_mdc_f33cb6_1521766531708_1521766534332.jpg,0,A,karton,8,6
44,mdc_photo_mdc_66cd93_1521767291220_1521767294728.jpg,1,A+,schoon,5,1
45,mdc_photo_mdc_9f926f_1521768019363_1521768029327.jpg,0,C,grofvuil,6,5
